TeamNumber,MatchNumber,ScoutName,Comments,Auto_Mobility,Auto_Docked,Auto_Engaged,Auto_Cubes_Top,Auto_Cubes_Mid,Auto_Cubes_Low,Auto_Cones_Top,Auto_Cones_Mid,Auto_Cones_Low,Tele_Cubes_Top,Tele_Cubes_Mid,Tele_Cubes_Low,Tele_Cones_Top,Tele_Cones_Mid,Tele_Cones_Low,Endgame_Parked,Endgame_Docked,Endgame_Engaged,Auto_Cubes,Auto_Cones,Tele_Cubes,Tele_Cones
172,17,evn,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,23,JF,Auto went haywire.,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00
172,28,evn,Missed docking on auto. Can pick up cones. Can pick up from human player station.,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00
172,36,Laura,Can grab cones from ground but better from human player. ,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00
172,42,terri,,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,3.00
172,54,DAB,,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00
172,59,Mr Cow,They have such a long arm. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00
319,6,jason,Started on the left does what we do but faster in terms of priorities,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,5.00,2.00
319,14,aiden,Good defense. Efficient. Fast. Can do high scoring. Can pick up from human player station. goes for cubes in tele,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,8.00,1.00
319,21,jason,Fast and efficient,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,3.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,3.00,4.00
319,28,Nicholas,Efficient. Fast. Can do high scoring.Did tip over but righted itself,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,4.00,2.00
319,33,Rachel,Mostly low scoring,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,4.00
319,37,Laura,"Match Was canceled. 1st match they moved quickly and were snappy with their movements. 2nd time recorded is the points above and as follows:\nSame as 1st try except for having a harder time with auto.",1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,3.00
319,45,Laura,I have nothing new to add. I like the googly eyes,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,4.00,1.00
319,50,DAB,,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,5.00
501,2,jason,9101 auto fail possibly effecting them,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
501,7,Laura,Bad at holding onto pieces. Shakey arm. Hanging off edge of balance to try and make room.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00
501,15,aiden,Slow. goes for cubes in tele. No top or middle scoring.,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,6.00,0.00
501,22,Zander,kinda slow scoring,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,0.00
501,36,Mr Cow,Slow auto. chases pieces around before it can grab them. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,0.00
501,48,DAB,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,5.00,0.00
501,52,DAB,No auto.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,1.00
501,56,Mr Cow,That robot is too tired to function. I can relate. Or maybe they were just stuck. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00
509,7,logan,Fast drive good with cubes,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,5.00,0.00
509,12,Laura,Can throw pieces,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,1.00
509,20,Zander,Other two robots died. then they spun around and died. that was really sad,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00
509,25,Nicholas,"quick, and can get both cones and cubes. just okay overall.",1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,1.00,0.00,1.00,1.00,3.00
509,29,JF,Poor control of arm. They drop many pieces.,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
509,37,aiden,match canceled and restarted. okey speed.,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,1.00
509,43,Nicholas,"its grip slipped on a couple of pieces, both cones. otherwise has a decent auto and  can move quickly",1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00
509,51,DAB,,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,5.00,0.00
811,3,Rachel,Struggles in in eveything. clunky movement,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
811,12,jason,"Shockwaves mentors design the robot and the kids build it, no good attributes to be found",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
811,19,Nicholas,Slow.,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
811,23,Laura,"Can take a beating, though the cones can break off",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,2.00
811,30,jason,Meh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00
811,40,Laura,Can push but needs human player to carry. Gets shaky when going fast or moving the wrong way. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00
811,44,Rachel,Tippy. 58 ran into it so hard it flew a  couple feet is on its side and the battery is falling out of the robot. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
811,49,Mr Cow,So big. so slow. so tippy when they go fast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00
811,56,terri,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
1099,5,Nicholas,Efficient. slow placing on top but has the capability. fairly fast grabbing game pieces.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00
1099,11,jason,Almost tipped while turning looks like a low rider when turning,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,3.00,0.00
1099,16,aiden,Slow. tippy. popped 2 cubes.  Bottoms out on ramp.  Cubes only.  bad Auto.  DON'T PICK!,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00
1099,24,Laura,"Bad at grabbing, can't grab cones, barely can grab cubes. Tippy. Could tip itself",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,0.00
1099,34,evn,Slow. Failed the dock at the end.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,3.00,2.00
1099,46,Mr Cow,Got stuck on the wall in auto. another very tippy robot. also enjoys chasing the pieces. like a dog who plays fetch with itself. Can't climb charge station well. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00
1099,55,Mr Cow,Slow and clunky,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00
1099,60,jason,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1247,1,Rachel,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1247,11,logan,Died,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1247,15,Nicholas,Didn't do much in general.,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1247,22,jason,Placement method is just letting the arm flop down,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00
1247,23,jason,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1247,28,Laura,Dropped cube in auto. Temporary disconnection. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00
1247,37,Mr Cow,Grabber no worky. they make a the pizza. Their arm got stuck and it looked like they were making the Italian hand gesture. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1247,42,Mr Cow,claw is working now. still looks like the robot would have a limp handshake. I lied. claw is stuck again. ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
1247,49,DAB,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00
